Dependency=Cooling Unavailable Days	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Option=1 day	Option=1 month	Option=1 week	Option=2 weeks	Option=3 days	Option=3 months	Option=Never	Option=Year round	source_count	source_weight	fallback_count	fallback_weight
Never	150-200%	Multi-Family with 5+ Units	0.00831429	0.00198389	0	0	0.00213578	0	0.987566	0	331	1.96655e+06	331	1.96655e+06
Year round	150-200%	Multi-Family with 5+ Units	0.0197974	0.00348769	0.00846532	0.00498599	0.020234	0.00255135	0.937383	0.00309511	0	0	1942	1.38913e+07
1 day	200-300%	Multi-Family with 5+ Units	0.0246585	0	0	0	0.0246585	0	0.950683	0	5	9332.97	11	44885.8
1 month	200-300%	Multi-Family with 5+ Units	0	0.0119216	0.0217162	0.0805179	0	0.0546988	0.824448	0.00669781	6	35851.8	13	64118.5
1 week	200-300%	Multi-Family with 5+ Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	3	11640.7	12	43928.6
2 weeks	200-300%	Multi-Family with 5+ Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	3	17055	12	43928.6
3 days	200-300%	Multi-Family with 5+ Units	9.15193e-05	0	0	0	9.15193e-05	0	0.999817	0	7	14777.6	11	39991.6
3 months	200-300%	Multi-Family with 5+ Units	0	0.00760686	0.0277131	0.0860179	0	0.219998	0.637839	0.0208255	1	413.858	21	100487
Never	200-300%	Multi-Family with 5+ Units	0.000388569	0.000308719	0.00229458	0.00172094	0.000388569	0	0.994899	0	562	3.21989e+06	562	3.21989e+06
Year round	200-300%	Multi-Family with 5+ Units	0.00302372	0.00114295	0.00306263	0.0025049	0.00272721	0.00366271	0.983441	0.000434971	1	10491	1397	8.31687e+06
1 day	300-400%	Multi-Family with 5+ Units	0.0246585	0	0	0	0.0246585	0	0.950683	0	2	21313.8	11	44885.8
1 month	300-400%	Multi-Family with 5+ Units	0	0.0119216	0.0217162	0.0805179	0	0.0546988	0.824448	0.00669781	2	6905.08	13	64118.5
1 week	300-400%	Multi-Family with 5+ Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	2	4855.99	12	43928.6
2 weeks	300-400%	Multi-Family with 5+ Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	0	0	12	43928.6
3 days	300-400%	Multi-Family with 5+ Units	9.15193e-05	0	0	0	9.15193e-05	0	0.999817	0	4	25214	11	39991.6
3 months	300-400%	Multi-Family with 5+ Units	0	0.00760686	0.0277131	0.0860179	0	0.219998	0.637839	0.0208255	3	17313.9	21	100487
Never	300-400%	Multi-Family with 5+ Units	0	0	0	0	0	0	1	0	367	2.47689e+06	367	2.47689e+06
Year round	300-400%	Multi-Family with 5+ Units	0.00302372	0.00114295	0.00306263	0.0025049	0.00272721	0.00366271	0.983441	0.000434971	2	2795.02	1397	8.31687e+06
1 day	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	2	8580.54	1311	9.96946e+06
1 month	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	5	32723.3	1311	9.96946e+06
1 week	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	3	3239.55	1311	9.96946e+06
2 weeks	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	2	15827.9	1311	9.96946e+06
3 days	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	5	42516.6	1311	9.96946e+06
3 months	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	2	1650.93	1311	9.96946e+06
Never	400%+	Multi-Family with 5+ Units	0.000893993	0.00276598	0.000867008	0	0.00145936	0.00200301	0.991491	0.000519364	1026	7.90151e+06	1026	7.90151e+06
Year round	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	2	2770.83	1311	9.96946e+06
1 day	Not Available	Multi-Family with 5+ Units	0.527402	0	0	0	0.0671858	0	0.405413	0	16	155614	16	155614
1 month	Not Available	Multi-Family with 5+ Units	0	0	0.0565215	0.0251301	0.00249337	0.0253191	0.887436	0.0031003	25	138520	25	138520
1 week	Not Available	Multi-Family with 5+ Units	0.0593367	0.00747099	0.110365	0.0124516	0.221912	0	0.588464	0	24	142056	24	142056
2 weeks	Not Available	Multi-Family with 5+ Units	0.011838	0.0186632	0.124626	0.0311053	0.0538695	0.0411168	0.713747	0.00503471	20	142164	20	142164
3 days	Not Available	Multi-Family with 5+ Units	0.111461	0	0.0267806	0	0.191589	0	0.67017	0	28	195360	28	195360
3 months	Not Available	Multi-Family with 5+ Units	0	0	0.0188008	0.0470021	0	0.0296902	0.890063	0.0144439	11	74061	11	74061
Never	Not Available	Multi-Family with 5+ Units	0.00405133	0.00186626	0.00150463	0.00140824	0.00394883	0.0012687	0.985006	0.000945799	2356	2.1958e+07	2356	2.1958e+07
Year round	Not Available	Multi-Family with 5+ Units	0	0.0200501	0	0.300752	0	0.0759595	0.579662	0.0235762	5	30088.1	10	63165.1
1 day	0-100%	Single-Family Attached	0.285826	0	0	0	0.0623107	0.0659944	0.541873	0.0439963	3	13520.7	11	26180.6
1 month	0-100%	Single-Family Attached	0.0106736	0.0402673	0.0805212	0	0.0643629	0.0430444	0.761131	0	13	35813.2	13	35813.2
1 week	0-100%	Single-Family Attached	0.06998	0	0.286505	0	0.539082	0	0.104433	0	6	10946.2	16	39952.2
2 weeks	0-100%	Single-Family Attached	0.0566609	0.0305864	0.0609492	0.0509773	0.256194	0	0.544633	0	7	14573.6	18	31236.2
3 days	0-100%	Single-Family Attached	0.0550183	0	0.235027	0	0.178834	0	0.531121	0	4	6099.94	15	28963.6
3 months	0-100%	Single-Family Attached	0.117127	0.0329407	0.0652548	0	0.0483642	0.0957776	0.617824	0.0227119	7	10303.4	11	14592.9
Never	0-100%	Single-Family Attached	0.00546119	0.00229355	0.00515227	0.00519015	0.00742384	0.000834019	0.973645	0	195	837167	195	837167
Year round	0-100%	Single-Family Attached	0.000607317	0	0	0	0.000607317	0.245025	0.345571	0.408189	1	3214.67	26	103139
1 day	100-150%	Single-Family Attached	0.285826	0	0	0	0.0623107	0.0659944	0.541873	0.0439963	4	6531.54	11	26180.6
1 month	100-150%	Single-Family Attached	0.0948561	0.0240654	0	0.040109	0	0	0.84097	0	8	15192.7	14	23820.2
1 week	100-150%	Single-Family Attached	0.058386	0	0.357441	0	0.465211	0	0.118962	0	7	22056	10	29006
2 weeks	100-150%	Single-Family Attached	0.0762278	0.0573379	0.0515669	0.0955631	0.127795	0	0.59151	0	6	5904.43	11	16662.7
3 days	100-150%	Single-Family Attached	0	0	0.281379	0	0.140496	0	0.578124	0	8	18516	11	22863.6
3 months	100-150%	Single-Family Attached	0.117127	0.0329407	0.0652548	0	0.0483642	0.0957776	0.617824	0.0227119	2	2761.47	11	14592.9
Never	100-150%	Single-Family Attached	0	0	0.00226935	0	0.0308387	0	0.966892	0	183	559315	183	559315
Year round	100-150%	Single-Family Attached	0.000607317	0	0	0	0.000607317	0.245025	0.345571	0.408189	0	0	26	103139
1 day	150-200%	Single-Family Attached	0.285826	0	0	0	0.0623107	0.0659944	0.541873	0.0439963	4	6128.34	11	26180.6
1 month	150-200%	Single-Family Attached	0.0948561	0.0240654	0	0.040109	0	0	0.84097	0	6	8627.43	14	23820.2
1 week	150-200%	Single-Family Attached	0.058386	0	0.357441	0	0.465211	0	0.118962	0	3	6950.06	10	29006
2 weeks	150-200%	Single-Family Attached	0.0762278	0.0573379	0.0515669	0.0955631	0.127795	0	0.59151	0	5	10758.2	11	16662.7
3 days	150-200%	Single-Family Attached	0	0	0.281379	0	0.140496	0	0.578124	0	3	4347.66	11	22863.6
3 months	150-200%	Single-Family Attached	0.117127	0.0329407	0.0652548	0	0.0483642	0.0957776	0.617824	0.0227119	2	1528.03	11	14592.9
Never	150-200%	Single-Family Attached	0.00225407	0.00208541	0.00568518	0.0131273	0.0119527	0.00121026	0.963685	0	202	495797	202	495797
Year round	150-200%	Single-Family Attached	0.000607317	0	0	0	0.000607317	0.245025	0.345571	0.408189	1	148.807	26	103139
1 day	200-300%	Single-Family Attached	0.166533	0	0	0	0.166533	0.106373	0.546552	0.014008	7	8981.59	12	17559.2
1 month	200-300%	Single-Family Attached	0.0775488	0.0473428	0.0695034	0.111636	0.056509	0.0535184	0.581741	0.00220007	7	15580.4	87	244460
1 week	200-300%	Single-Family Attached	0.109694	0.0312377	0.0440913	0.0361331	0.168194	0	0.610649	0	4	4124.99	76	207153
