Dependency=ASHRAE IECC Climate Zone 2004 - Sub-CZ Split	Dependency=Usage Level	Option=50% Usage	Option=60% Usage	Option=70% Usage	Option=80% Usage	Option=90% Usage	Option=100% Usage	Option=110% Usage	Option=120% Usage	Option=130% Usage	Option=140% Usage	Option=150% Usage	Option=160% Usage	Option=170% Usage	Option=180% Usage	Option=190% Usage	Option=200% Usage	source_count	source_weight	sampling_probability
4C	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
5A	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.0563417
5A	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.112683
5A	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.0563417
5A	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
5B	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.00947324
5B	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.0189465
5B	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.00947324
5B	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
6A	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.0153293
6A	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.0306585
6A	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.0153293
6A	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
6B	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.00230765
6B	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.0046153
6B	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.00230765
6B	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
7A	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.00197408
7A	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.00394816
7A	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.00197408
7A	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
7AK	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.00044671
7AK	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.000893419
7AK	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.00044671
7AK	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
7B	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.000282912
7B	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.000565825
7B	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.000282912
7B	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
8AK	Low	0.0186722	0.145228	0.396266	0.439834	0	0	0	0	0	0	0	0	0	0	0	0	1700	1700	0.000129864
8AK	Medium	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0.000259729
8AK	High	0	0	0	0	0	0	0.0539419	0.354772	0.271784	0.151452	0.0829876	0.0394191	0.0290456	0.0124481	0	0.00414938	1700	1700	0.000129864
8AK	Average	0	0	0	0.0591286	0.335062	0.364108	0.241701	0	0	0	0	0	0	0	0	0	1700	1700	0
# Created by: sources\other\tsv_maker.py
# Description: Hot water fixture usage and flow levels.
# Source: Field data from a demand management program with 1700 residential electric resistance water heaters in the Northeast U.S., mean-shifted from 0.8 to 1 average usage.
# Assumption: For ['1A - HI'], a lognormal distribution was fitted to the fied data and the mean was then shifted by 25%.
# Assumption: The distribution has an average value of 1.250 when transformed and a standard deviation of 0.239.
# Assumption: Low, Medium, and High usage is assigned based on the lower 25th percent, middle 50th percent, and upper 25th percent.
