Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Space Combination	Dependency=Vintage ACS	Dependency=Water Heater In Unit	Option=Attic	Option=Conditioned Mechanical Room	Option=Crawlspace	Option=Garage	Option=Heated Basement	Option=Living Space	Option=Outside	Option=Unheated Basement	source_count	source_weight	fallback_count	fallback_weight
1A	Mobile Home, Ambient, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Multi-Family with 2 - 4 Units Bottom Unit, Slab, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.15	17	55388.8
1A	Multi-Family with 2 - 4 Units Middle Unit, Slab, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.838	17	55555.1
1A	Multi-Family with 2 - 4 Units Top Unit, Slab, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.15	17	55388.8
1A	Multi-Family with 2 - 4 Units Bottom Unit, Unheated Basement, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.15	17	55388.8
1A	Multi-Family with 2 - 4 Units Middle Unit, Unheated Basement, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.838	17	55555.1
1A	Multi-Family with 2 - 4 Units Top Unit, Unheated Basement, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.15	17	55388.8
1A	Multi-Family with 2 - 4 Units Bottom Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.15	17	55388.8
1A	Multi-Family with 2 - 4 Units Middle Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.838	17	55555.1
1A	Multi-Family with 2 - 4 Units Top Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.15	17	55388.8
1A	Multi-Family with 2 - 4 Units Bottom Unit, Vented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.15	17	55388.8
1A	Multi-Family with 2 - 4 Units Middle Unit, Vented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.838	17	55555.1
1A	Multi-Family with 2 - 4 Units Top Unit, Vented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	2	229.15	17	55388.8
1A	Multi-Family with 5+ Units Bottom Unit, Slab, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	197.75	17	55388.8
1A	Multi-Family with 5+ Units Middle Unit, Slab, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	198.343	17	55555.1
1A	Multi-Family with 5+ Units Top Unit, Slab, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	197.75	17	55388.8
1A	Multi-Family with 5+ Units Bottom Unit, Unheated Basement, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	197.75	17	55388.8
1A	Multi-Family with 5+ Units Middle Unit, Unheated Basement, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	198.343	17	55555.1
1A	Multi-Family with 5+ Units Top Unit, Unheated Basement, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	197.75	17	55388.8
1A	Multi-Family with 5+ Units Bottom Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	197.75	17	55388.8
1A	Multi-Family with 5+ Units Middle Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	198.343	17	55555.1
1A	Multi-Family with 5+ Units Top Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	197.75	17	55388.8
1A	Multi-Family with 5+ Units Bottom Unit, Vented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	197.75	17	55388.8
1A	Multi-Family with 5+ Units Middle Unit, Vented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	198.343	17	55555.1
1A	Multi-Family with 5+ Units Top Unit, Vented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	197.75	17	55388.8
1A	Single-Family Attached, Heated Basement, Finished Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Heated Basement, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Heated Basement, Unvented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Heated Basement, Vented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Slab, Finished Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Slab, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	1	150.494	29	6588.75
1A	Single-Family Attached, Slab, Unvented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Slab, Vented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Unheated Basement, Finished Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Unheated Basement, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Unheated Basement, Unvented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Unheated Basement, Vented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Unvented Crawlspace, Finished Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Unvented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Unvented Crawlspace, Unvented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Unvented Crawlspace, Vented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Vented Crawlspace, Finished Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Vented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Vented Crawlspace, Unvented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Attached, Vented Crawlspace, Vented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Ambient, Finished Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Ambient, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Ambient, Unvented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Ambient, Vented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Finished Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Finished Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Finished Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Finished Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, No Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, No Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, No Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Unvented Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Unvented Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Unvented Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Unvented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Vented Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Vented Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Vented Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Heated Basement, Vented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Finished Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Finished Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Finished Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Finished Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, No Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, No Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, No Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Unvented Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Unvented Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Unvented Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Unvented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Vented Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Vented Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Vented Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Slab, Vented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Finished Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Finished Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Finished Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Finished Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, No Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, No Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, No Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Unvented Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Unvented Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Unvented Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Unvented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Vented Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Vented Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Vented Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unheated Basement, Vented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, Finished Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, Finished Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
