Dependency=State	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 50 gal, 3.45 UEF	Option=Electric Heat Pump, 66 gal, 3.35 UEF	Option=Electric Heat Pump, 80 gal, 3.45 UEF	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless	Option=Solar Thermal, 40 sqft, East, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, North, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Fuel Oil Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Natural Gas Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Propane Standard Backup	Option=Solar Thermal, 40 sqft, West, Roof Pitch, Electric Standard Backup	Option=Wood	source_count	source_weight	fallback_count	fallback_weight
AK	Electricity	0.005	0	0	0.266432	0.656716	0.0718516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	73103.9	80	73103.9
AK	Fuel Oil	0	0	0	0	0	0	0.244164	0.185513	0.570323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	36522.7	43	36522.7
AK	Natural Gas	0	0	0	0	0	0	0	0	0	0.150379	0.694737	0.154885	0	0	0	0	0	0	0	0	0	0	0	0	173	134790	173	134790
AK	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3314.48	13	65186.3
AK	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265037	0.486353	0.248609	0	0	0	0	0	0	0	0	10	8613.51	10	8613.51
AK	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225093	0.0244123	0.567602	0	0.0142406	0.0352778	0.133375	0	1	848.57	56	113935
AK	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
AL	Electricity	0.005	0	0	0.211316	0.762202	0.0214822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	1.36669e+06	172	1.36669e+06
AL	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	93083.8
AL	Natural Gas	0	0	0	0	0	0	0	0	0	0.095757	0.841587	0.0626562	0	0	0	0	0	0	0	0	0	0	0	0	64	488396	64	488396
