Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Geometry Foundation Type	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	source_count	source_weight	fallback_count	fallback_weight
East North Central	Multi-Family with 5+ Units	4000+	Ambient	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Ambient	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	1500-2499	Ambient	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	2500-3999	Ambient	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Ambient	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Ambient	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	1500-2499	Ambient	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	2500-3999	Ambient	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Ambient	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Ambient	1	1940-59	0	0	0	1	0	0	1	2266.55
East North Central	Single-Family Attached	1500-2499	Ambient	1	1940-59	0	0	0	1	0	0	1	4552.29
East North Central	Single-Family Attached	2500-3999	Ambient	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	4000+	Ambient	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Ambient	2	1940-59	0	0	0	1	0	0	1	2266.55
East North Central	Single-Family Attached	1500-2499	Ambient	2	1940-59	0	0	0	1	1	1270.09	1	4552.29
East North Central	Single-Family Attached	2500-3999	Ambient	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	4000+	Ambient	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Ambient	3	1940-59	0	0	0	1	0	0	1	2266.55
East North Central	Single-Family Attached	1500-2499	Ambient	3	1940-59	0	0	0	1	0	0	1	4552.29
East North Central	Single-Family Attached	2500-3999	Ambient	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	4000+	Ambient	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Ambient	4+	1940-59	0	0	0	1	1	2266.55	1	2266.55
East North Central	Single-Family Attached	1500-2499	Ambient	4+	1940-59	0	0	0	1	0	0	1	4552.29
East North Central	Single-Family Attached	2500-3999	Ambient	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	4000+	Ambient	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Detached	0-1499	Ambient	1	1940-59	0	0	0	1	7	26709.2	10	54636.4
East North Central	Single-Family Detached	1500-2499	Ambient	1	1940-59	0	0	0	1	6	17038.5	16	90724.4
East North Central	Single-Family Detached	2500-3999	Ambient	1	1940-59	0	0	0	1	0	0	13	48168.4
East North Central	Single-Family Detached	4000+	Ambient	1	1940-59	0	0	0	1	1	3207.06	4	11470
East North Central	Single-Family Detached	0-1499	Ambient	2	1940-59	0	0	0	1	2	2411.91	10	54636.4
East North Central	Single-Family Detached	1500-2499	Ambient	2	1940-59	0	0	0	1	10	20357.4	10	20357.4
East North Central	Single-Family Detached	2500-3999	Ambient	2	1940-59	0	0	0	1	7	9513.22	13	48168.4
East North Central	Single-Family Detached	4000+	Ambient	2	1940-59	0	0	0	1	2	1592.39	4	11470
East North Central	Single-Family Detached	0-1499	Ambient	3	1940-59	0	0	0	1	1	2588.38	10	54636.4
East North Central	Single-Family Detached	1500-2499	Ambient	3	1940-59	0	0	0	1	0	0	16	90724.4
East North Central	Single-Family Detached	2500-3999	Ambient	3	1940-59	0	0	0	1	0	0	13	48168.4
East North Central	Single-Family Detached	4000+	Ambient	3	1940-59	0	0	0	1	0	0	4	11470
