Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=major_elec_load_count,Dependency=panel_capacity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
manufactured home,4000+,7,<100,0.325560388,0.177986904,0.150427013,0.113254754,0.080043219,0.054355182,0.035908069,0.023248238,0.014821954,0.009335794,0.00582284,0.003602466,0.002213659,0.001352403,0.000822117,0.000497593,0.000300024,0.000180289,0.000108012,6.45E-05,3.85E-05,2.29E-05,1.36E-05,8.21E-06,4.76E-06,2.81E-06,1.66E-06,9.75E-07,5.74E-07,3.37E-07,1.98E-07,1.16E-07
manufactured home,4000+,7,201+,0.318373567,0.111229652,0.111534695,0.099630478,0.083543361,0.06731006,0.052757315,0.040525866,0.03065486,0.022908506,0.016952432,0.012443674,0.009072168,0.006575944,0.004742828,0.003405878,0.002436478,0.00173711,0.001234761,0.000875313,0.00061899,0.000436759,0.000307556,0.000216175,0.000151688,0.000106272,7.43E-05,5.19E-05,3.62E-05,2.53E-05,1.76E-05,1.22E-05
manufactured home,4000+,7,200,0.249298923,0.102830158,0.107872117,0.100807007,0.08843206,0.074537885,0.061235096,0.049116564,0.038868189,0.030387224,0.023524779,0.018065145,0.01377854,0.010448393,0.007883663,0.005922691,0.004432531,0.0033061,0.002458503,0.001823267,0.001348869,0.000995698,0.000733516,0.000539374,0.000395945,0.000290203,0.000212394,0.000155239,0.000113323,8.26E-05,6.02E-05,4.38E-05
manufactured home,4000+,7,126-199,0.348947562,0.132784944,0.12425067,0.103571787,0.081044154,0.060932673,0.044567004,0.03194652,0.022550236,0.015725665,0.010859373,0.00743844,0.005060633,0.003423043,0.002303839,0.001543847,0.001030619,0.000685683,0.00045482,0.000300871,0.000198546,0.000130731,8.93E-05,5.63E-05,3.69E-05,2.41E-05,1.57E-05,1.03E-05,6.68E-06,4.35E-06,2.82E-06,1.83E-06
manufactured home,4000+,7,125,0.348947562,0.132784944,0.12425067,0.103571787,0.081044154,0.060932673,0.044567004,0.03194652,0.022550236,0.015725665,0.010859373,0.00743844,0.005060633,0.003423043,0.002303839,0.001543847,0.001030619,0.000685683,0.00045482,0.000304238,0.000198546,0.000130731,8.59E-05,5.63E-05,3.69E-05,2.41E-05,1.57E-05,1.03E-05,6.68E-06,4.35E-06,2.82E-06,1.83E-06
manufactured home,4000+,7,101-124,0.348947562,0.132784944,0.12425067,0.103571787,0.081044154,0.060932673,0.044567004,0.03194652,0.022550236,0.015725665,0.010859373,0.00743844,0.005060633,0.003423043,0.002303839,0.001543847,0.001030619,0.000685683,0.00045482,0.000300871,0.000198546,0.000134098,8.59E-05,5.63E-05,3.69E-05,2.41E-05,1.57E-05,1.03E-05,6.68E-06,4.35E-06,2.82E-06,1.83E-06
manufactured home,4000+,7,100,0.325560388,0.177986904,0.150427013,0.113254754,0.080043219,0.054355182,0.035908069,0.023248238,0.014821954,0.009335794,0.00582284,0.003602466,0.002213659,0.001352566,0.000822117,0.000497593,0.000300024,0.000180289,0.000108012,6.45E-05,3.85E-05,2.29E-05,1.36E-05,8.04E-06,4.76E-06,2.81E-06,1.66E-06,9.75E-07,5.74E-07,3.37E-07,1.98E-07,1.16E-07
manufactured home,4000+,6,<100,0.327804309,0.168985716,0.145906792,0.112226094,0.081030717,0.056215208,0.037939591,0.0250948,0.016344871,0.010517561,0.006701722,0.004235836,0.002659118,0.001659666,0.001030709,0.00063733,0.000392585,0.00024101,0.000147512,9.00E-05,5.48E-05,3.33E-05,2.02E-05,1.22E-05,7.39E-06,4.46E-06,2.68E-06,1.61E-06,9.70E-07,5.82E-07,3.49E-07,2.09E-07
manufactured home,4000+,6,201+,0.328401476,0.103277099,0.105240408,0.095533093,0.081407169,0.066653011,0.053089859,0.041442912,0.031857111,0.024193178,0.018193541,0.013571346,0.010054824,0.007406458,0.005472432,0.003961501,0.002879932,0.002086586,0.001507234,0.001085801,0.000780296,0.000559509,0.000400386,0.000285989,0.000203931,0.000145191,0.000103221,7.33E-05,5.20E-05,3.68E-05,2.60E-05,1.84E-05
manufactured home,4000+,6,200,0.257089879,0.095584236,0.101739864,0.096469239,0.085866558,0.073435754,0.061097824,0.04981852,0.040001229,0.031731181,0.024925102,0.019420885,0.015029584,0.011564036,0.009028819,0.006748564,0.005124604,0.003878294,0.002926251,0.00220195,0.001652886,0.00123799,0.000925369,0.000690418,0.000514248,0.000382433,0.000283996,0.000210614,0.000155999,0.000115412,8.53E-05,6.30E-05
manufactured home,4000+,6,126-199,0.35770757,0.124031475,0.118208015,0.10035864,0.079983445,0.061248259,0.045627017,0.033311738,0.023949141,0.01701034,0.011963929,0.008346724,0.005783678,0.003984527,0.002731377,0.001864228,0.001267529,0.000858912,0.000580269,0.000390963,0.000262773,0.000176224,0.000117943,7.88E-05,5.25E-05,3.50E-05,2.90E-05,1.54E-05,1.02E-05,6.79E-06,4.49E-06,2.97E-06
manufactured home,4000+,6,125,0.35770757,0.124031475,0.118208015,0.10035864,0.079983445,0.061248259,0.045627017,0.033311738,0.023949141,0.01701034,0.011963929,0.008346724,0.005783678,0.003984527,0.002731377,0.001864228,0.001267529,0.000858912,0.000580269,0.000390963,0.000262773,0.000176224,0.000117943,7.88E-05,5.83E-05,3.50E-05,2.33E-05,1.54E-05,1.02E-05,6.79E-06,4.49E-06,2.97E-06
manufactured home,4000+,6,101-124,0.35770757,0.124031475,0.118208015,0.10035864,0.079983445,0.061248259,0.045627017,0.033311738,0.023949141,0.01701034,0.011963929,0.008346724,0.005783678,0.003984527,0.002737124,0.001864228,0.001267529,0.000858912,0.000580269,0.000390963,0.000262773,0.000176224,0.000117943,7.88E-05,5.25E-05,3.50E-05,2.33E-05,1.54E-05,1.02E-05,6.79E-06,4.49E-06,2.97E-06
manufactured home,4000+,6,100,0.327804309,0.168985716,0.145906792,0.112226094,0.081030717,0.056215208,0.037939591,0.025094489,0.016344871,0.010517872,0.006701722,0.004235836,0.002659118,0.001659666,0.001030709,0.00063733,0.000392585,0.00024101,0.000147512,9.00E-05,5.48E-05,3.33E-05,2.02E-05,1.22E-05,7.39E-06,4.46E-06,2.68E-06,1.61E-06,9.70E-07,5.82E-07,3.49E-07,2.09E-07
manufactured home,4000+,5,<100,0.33132712,0.15993836,0.140993397,0.110722971,0.081623307,0.05781479,0.039838079,0.026903249,0.017890748,0.011753918,0.00764671,0.004934555,0.003162767,0.002015445,0.001277929,0.00080678,0.000507394,0.000318029,0.000198737,0.000123856,7.70E-05,4.78E-05,2.96E-05,1.83E-05,1.18E-05,6.94E-06,4.27E-06,2.62E-06,1.61E-06,9.86E-07,6.03E-07,3.69E-07
manufactured home,4000+,5,201+,0.339710918,0.095579244,0.098922383,0.091204942,0.079005219,0.065643129,0.053104773,0.042104134,0.032872547,0.025355511,0.019366412,0.014672609,0.011041075,0.008260379,0.006149231,0.004557788,0.003365341,0.002476484,0.001816906,0.001329396,0.000970323,0.000706669,0.000513618,0.000372618,0.000269867,0.000195146,0.00014091,0.000101611,7.32E-05,5.26E-05,3.78E-05,2.72E-05
manufactured home,4000+,5,200,0.266092558,0.088593444,0.09563117,0.091958139,0.0830077,0.071993766,0.060744377,0.050230115,0.040901542,0.032903765,0.026211345,0.020711635,0.016254938,0.01268355,0.009847558,0.007612526,0.006123883,0.004499291,0.00344277,0.002627222,0.001999979,0.001519121,0.001151552,0.000871311,0.000658154,0.000496367,0.000373811,0.000281138,0.000211177,0.000158442,0.000118747,8.89E-05
manufactured home,4000+,5,126-199,0.36775943,0.115459509,0.112010147,0.096800556,0.078530043,0.061212783,0.046417644,0.034496177,0.025245051,0.018252063,0.013067287,0.009279836,0.006545473,0.004590144,0.003202903,0.002225224,0.001540088,0.001062304,0.000730537,0.000501027,0.000342783,0.000234,0.000169027,0.000108407,7.36E-05,4.99E-05,3.38E-05,2.28E-05,1.54E-05,1.04E-05,7.00E-06,4.71E-06
