Input Name,Input Description,Data Type
build_existing_model.hvac_heating_type_and_fuel,:ref:`hvac_heating_type_and_fuel`,string
build_existing_model.hvac_secondary_heating_efficiency,:ref:`hvac_secondary_heating_efficiency`,string
build_existing_model.hvac_secondary_heating_fuel,:ref:`hvac_secondary_heating_fuel`,string
build_existing_model.hvac_secondary_heating_partial_space_conditioning,:ref:`hvac_secondary_heating_partial_space_conditioning`,string
build_existing_model.hvac_secondary_heating_type,:ref:`hvac_secondary_heating_type`,string
build_existing_model.hvac_shared_efficiencies,:ref:`hvac_shared_efficiencies`,string
build_existing_model.hvac_system_is_faulted,:ref:`hvac_system_is_faulted`,string
build_existing_model.hvac_system_is_scaled,:ref:`hvac_system_is_scaled`,string
build_existing_model.hvac_system_single_speed_ac_airflow,:ref:`hvac_system_single_speed_ac_airflow`,string
build_existing_model.hvac_system_single_speed_ac_charge,:ref:`hvac_system_single_speed_ac_charge`,string
build_existing_model.hvac_system_single_speed_ashp_airflow,:ref:`hvac_system_single_speed_ashp_airflow`,string
build_existing_model.hvac_system_single_speed_ashp_charge,:ref:`hvac_system_single_speed_ashp_charge`,string
build_existing_model.income,:ref:`income`,string
build_existing_model.income_recs_2015,:ref:`income_recs2015`,string
build_existing_model.income_recs_2020,:ref:`income_recs2020`,string
build_existing_model.infiltration,:ref:`infiltration`,string
build_existing_model.insulation_ceiling,:ref:`insulation_ceiling`,string
build_existing_model.insulation_floor,:ref:`insulation_floor`,string
build_existing_model.insulation_foundation_wall,:ref:`insulation_foundation_wall`,string
build_existing_model.insulation_rim_joist,:ref:`insulation_rim_joist`,string
build_existing_model.insulation_roof,:ref:`insulation_roof`,string
build_existing_model.insulation_slab,:ref:`insulation_slab`,string
build_existing_model.insulation_wall,:ref:`insulation_wall`,string
build_existing_model.interior_shading,:ref:`interior_shading`,string
build_existing_model.iso_rto_region,:ref:`iso_rto_region`,string
build_existing_model.lighting,:ref:`lighting`,string
build_existing_model.lighting_interior_use,:ref:`lighting_interior_use`,string
build_existing_model.lighting_other_use,:ref:`lighting_other_use`,string
build_existing_model.location_region,:ref:`location_region`,string
build_existing_model.mechanical_ventilation,:ref:`mechanical_ventilation`,string
build_existing_model.metropolitan_and_micropolitan_statistical_area,:ref:`metropolitan_and_micropolitan_statistical_area`,string
build_existing_model.misc_extra_refrigerator,:ref:`misc_extra_refrigerator`,string
build_existing_model.misc_freezer,:ref:`misc_freezer`,string
build_existing_model.misc_gas_fireplace,:ref:`misc_gas_fireplace`,string
build_existing_model.misc_gas_grill,:ref:`misc_gas_grill`,string
build_existing_model.misc_gas_lighting,:ref:`misc_gas_lighting`,string
build_existing_model.misc_hot_tub_spa,:ref:`misc_hot_tub_spa`,string
build_existing_model.misc_pool,:ref:`misc_pool`,string
build_existing_model.misc_pool_heater,:ref:`misc_pool_heater`,string
build_existing_model.misc_pool_pump,:ref:`misc_pool_pump`,string
build_existing_model.misc_well_pump,:ref:`misc_well_pump`,string
build_existing_model.natural_ventilation,:ref:`natural_ventilation`,string
build_existing_model.neighbors,:ref:`neighbors`,string
build_existing_model.occupants,:ref:`occupants`,string
build_existing_model.orientation,:ref:`orientation`,string
build_existing_model.overhangs,:ref:`overhangs`,string
build_existing_model.plug_load_diversity,:ref:`plug_load_diversity`,string
build_existing_model.plug_loads,:ref:`plug_loads`,string
build_existing_model.puma,:ref:`puma`,string
build_existing_model.puma_metro_status,:ref:`puma_metro_status`,string
build_existing_model.pv_orientation,:ref:`pv_orientation`,string
build_existing_model.pv_system_size,:ref:`pv_system_size`,string
build_existing_model.radiant_barrier,:ref:`radiant_barrier`,string
build_existing_model.range_spot_vent_hour,:ref:`range_spot_vent_hour`,string
build_existing_model.reeds_balancing_area,:ref:`reeds_balancing_area`,string
build_existing_model.refrigerator,:ref:`refrigerator`,string
build_existing_model.refrigerator_usage_level,:ref:`refrigerator_usage_level`,string
build_existing_model.roof_material,:ref:`roof_material`,string
build_existing_model.state,:ref:`state`,string
