zipcode,zipcode_city,zipcode_state,zipcode_latitude,zipcode_longitude,zipcode_energystar_zone,zipcode_iecc_zone,zipcode_utc_offset,station_wmo,station_distance,station_name,station_state,station_altitude,station_latitude,station_longitude,station_filename
01222,Ashley Falls,MA,42.0575,-73.316,northern,5A,-5,744915,50.74205349,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01230,Great Barrington,MA,42.1779,-73.3332,northern,5A,-5,744915,50.91482994,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01238,Lee,MA,42.2764,-73.1899,northern,5A,-5,744915,41.18706313,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01243,Middlefield,MA,42.3514,-73.0159,northern,5A,-5,744915,32.73669883,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01244,Mill River,MA,42.0772,-73.1627,northern,5A,-5,744915,37.92386415,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01245,Monterey,MA,42.2031,-73.2274,northern,5A,-5,744915,42.43617319,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01252,North Egremont,MA,42.1967,-73.4386,northern,5A,-5,744915,59.69968869,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01253,Otis,MA,42.2038,-73.0917,northern,5A,-5,744915,31.3732323,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01255,Sandisfield,MA,42.1051,-73.1239,northern,5A,-5,744915,34.14702942,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01257,Sheffield,MA,42.0893,-73.3727,northern,5A,-5,744915,54.6960683,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01258,South Egremont,MA,42.094,-73.4662,northern,5A,-5,744915,62.27680986,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01259,Southfield,MA,42.0733,-73.241,northern,5A,-5,744915,44.31615684,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
06018,Canaan,CT,42.0294,-73.3073,northern,5A,-5,744915,50.84167782,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
06021,Colebrook,CT,42.0286,-73.1037,northern,5A,-5,744915,35.07705246,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
06024,East Canaan,CT,42.013,-73.2758,northern,5A,-5,744915,48.92896393,Westfield Barnes Muni AP,MA,82,42.158,-72.716,USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.epw
01002,Amherst,MA,42.3773,-72.4671,northern,5A,-5,744910,20.44653448,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01003,Amherst,MA,42.3911,-72.5243,northern,5A,-5,744910,21.26139529,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01004,Amherst,MA,42.3736,-72.5209,northern,5A,-5,744910,19.32908404,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01007,Belchertown,MA,42.2771,-72.4022,northern,5A,-5,744910,13.76394754,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
