upgrade,upgrade_name,option_num,option,applicable_to,applicable_percent,parameter
22,"HVAC Demand Flexibility - Pre-peak Load Shifting, 2F Offset, 1hr Pre-peak Duration",2,Demand Flexibility Random Shift|30 minutes,548291,99.7,Demand Flexibility Random Shift
22,"HVAC Demand Flexibility - Pre-peak Load Shifting, 2F Offset, 1hr Pre-peak Duration",-1,All,548291,99.7,All
23,Electric Vehicle Adoption with Level 1 Charging,1,Electric Vehicle Ownership|Yes,477589,86.8,Electric Vehicle Ownership
23,Electric Vehicle Adoption with Level 1 Charging,2,Electric Vehicle Charger|Level 1 charger,477589,86.8,Electric Vehicle Charger
23,Electric Vehicle Adoption with Level 1 Charging,-1,All,477589,86.8,All
24,Electric Vehicle Adoption with Level 2 Charging,1,Electric Vehicle Ownership|Yes,483360,87.9,Electric Vehicle Ownership
24,Electric Vehicle Adoption with Level 2 Charging,2,Electric Vehicle Charger|Level 2 charger,483360,87.9,Electric Vehicle Charger
24,Electric Vehicle Adoption with Level 2 Charging,-1,All,483360,87.9,All
25,Efficient Electric Vehicle Adoption with Level 2 Charging,1,Electric Vehicle Ownership|Yes,483360,87.9,Electric Vehicle Ownership
25,Efficient Electric Vehicle Adoption with Level 2 Charging,2,Electric Vehicle Charger|Level 2 charger,483360,87.9,Electric Vehicle Charger
25,Efficient Electric Vehicle Adoption with Level 2 Charging,3,Electric Vehicle Efficiency Increase|15%,483360,87.9,Electric Vehicle Efficiency Increase
25,Efficient Electric Vehicle Adoption with Level 2 Charging,-1,All,483360,87.9,All
26,Electric Vehicle Adoption with Level 2 Charging and Demand Flexibility,1,Electric Vehicle Ownership|Yes,483360,87.9,Electric Vehicle Ownership
26,Electric Vehicle Adoption with Level 2 Charging and Demand Flexibility,2,Electric Vehicle Charger|Level 2 charger,483360,87.9,Electric Vehicle Charger
26,Electric Vehicle Adoption with Level 2 Charging and Demand Flexibility,3,Demand Flexibility Electric Vehicle|Enabled,483360,87.9,Demand Flexibility Electric Vehicle
26,Electric Vehicle Adoption with Level 2 Charging and Demand Flexibility,4,Demand Flexibility Random Shift|30 minutes,483360,87.9,Demand Flexibility Random Shift
26,Electric Vehicle Adoption with Level 2 Charging and Demand Flexibility,-1,All,483360,87.9,All
27,Efficient Electric Vehicle Adoption with Level 2 Charging and Demand Flexibility,1,Electric Vehicle Ownership|Yes,483360,87.9,Electric Vehicle Ownership
27,Efficient Electric Vehicle Adoption with Level 2 Charging and Demand Flexibility,2,Electric Vehicle Charger|Level 2 charger,483360,87.9,Electric Vehicle Charger
27,Efficient Electric Vehicle Adoption with Level 2 Charging and Demand Flexibility,3,Electric Vehicle Efficiency Increase|15%,483360,87.9,Electric Vehicle Efficiency Increase
27,Efficient Electric Vehicle Adoption with Level 2 Charging and Demand Flexibility,4,Demand Flexibility Electric Vehicle|Enabled,483360,87.9,Demand Flexibility Electric Vehicle
27,Efficient Electric Vehicle Adoption with Level 2 Charging and Demand Flexibility,5,Demand Flexibility Random Shift|30 minutes,483360,87.9,Demand Flexibility Random Shift
27,Efficient Electric Vehicle Adoption with Level 2 Charging and Demand Flexibility,-1,All,483360,87.9,All
