Published Annual Name,Published Timeseries Name,ResStock 2024 Release 2 Equivalent
bldg_id,bldg_id,bldg_id
upgrade,,upgrade
weight,,weight
,timestamp,timestamp
applicability,,applicability
in.ahs_region,,in.ahs_region
in.aiannh_area,,in.aiannh_area
in.air_leakage_to_outside_ach50,,New in ResStock 2025 Release 1
in.area_median_income,,in.area_median_income
in.ashrae_iecc_climate_zone_2004,,in.ashrae_iecc_climate_zone_2004
in.ashrae_iecc_climate_zone_2004_sub_cz_split,,in.ashrae_iecc_climate_zone_2004_2_a_split
in.bathroom_spot_vent_hour,,in.bathroom_spot_vent_hour
in.battery,,in.battery
in.bedrooms,,in.bedrooms
in.building_america_climate_zone,,in.building_america_climate_zone
in.cec_climate_zone,,in.cec_climate_zone
in.ceiling_fan,,in.ceiling_fan
in.census_division,,in.census_division
in.census_division_recs,,in.census_division_recs
in.census_region,,in.census_region
in.city,,in.city
in.clothes_dryer,,in.clothes_dryer
in.clothes_dryer_usage_level,,in.clothes_dryer_usage_level
in.clothes_washer,,in.clothes_washer
in.clothes_washer_presence,,in.clothes_washer_presence
in.clothes_washer_usage_level,,in.clothes_washer_usage_level
in.cooking_range,,in.cooking_range
in.cooking_range_usage_level,,in.cooking_range_usage_level
in.cooling_setpoint,,in.cooling_setpoint
in.cooling_setpoint_has_offset,,in.cooling_setpoint_has_offset
in.cooling_setpoint_offset_magnitude,,in.cooling_setpoint_offset_magnitude
in.cooling_setpoint_offset_period,,in.cooling_setpoint_offset_period
in.cooling_unavailable_days,,New in ResStock 2025 Release 1
in.cooling_unavailable_period,,New in ResStock 2025 Release 1
in.corridor,,in.corridor
in.county,,in.county
in.county_and_puma,,in.county_and_puma
in.county_metro_status,,New in ResStock 2025 Release 1
in.county_name,,in.county_name
in.custom_state,,New in ResStock 2025 Release 1
in.dehumidifier,,in.dehumidifier
in.dishwasher,,in.dishwasher
in.dishwasher_usage_level,,in.dishwasher_usage_level
in.door_area,,in.door_area
in.doors,,in.doors
in.duct_leakage_and_insulation,,in.duct_leakage_and_insulation
in.duct_location,,in.duct_location
in.eaves,,in.eaves
in.electric_panel_breaker_space_total_count,,New in ResStock 2025 Release 1
in.electric_panel_service_rating..a,,New in ResStock 2025 Release 1
in.electric_panel_service_rating_bin..a,,New in ResStock 2025 Release 1
in.electric_vehicle_battery,,New in ResStock 2025 Release 1
in.electric_vehicle_charge_at_home,,New in ResStock 2025 Release 1
in.electric_vehicle_charger,,New in ResStock 2025 Release 1
in.electric_vehicle_miles_traveled,,New in ResStock 2025 Release 1
in.electric_vehicle_outlet_access,,New in ResStock 2025 Release 1
in.electric_vehicle_ownership,,New in ResStock 2025 Release 1
in.energystar_climate_zone_2023,,in.energystar_climate_zone_2023
in.federal_poverty_level,,in.federal_poverty_level
in.generation_and_emissions_assessment_region,,in.generation_and_emissions_assessment_region
in.geometry_attic_type,,in.geometry_attic_type
in.geometry_building_horizontal_location_mf,,in.geometry_building_horizontal_location_mf
in.geometry_building_horizontal_location_sfa,,in.geometry_building_horizontal_location_sfa
in.geometry_building_level_mf,,in.geometry_building_level_mf
in.geometry_building_number_units_mf,,in.geometry_building_number_units_mf
in.geometry_building_number_units_sfa,,in.geometry_building_number_units_sfa
in.geometry_building_type_acs,,in.geometry_building_type_acs
in.geometry_building_type_height,,in.geometry_building_type_height
in.geometry_building_type_recs,,in.geometry_building_type_recs
in.geometry_floor_area,,in.geometry_floor_area
in.geometry_floor_area_bin,,in.geometry_floor_area_bin
in.geometry_foundation_type,,in.geometry_foundation_type
in.geometry_garage,,in.geometry_garage
in.geometry_space_combination,,in.geometry_space_combination
in.geometry_stories,,in.geometry_stories
in.geometry_stories_low_rise,,in.geometry_stories_low_rise
in.geometry_story_bin,,in.geometry_story_bin
