Column Type,Import From Raw,Publish In Full,Annual Name,Annual Units,Published Annual Name,Published Annual Name Sightglass,Published Annual Unit,ResStock To Published Annual Unit Conversion Factor,Timeseries Name,Timeseries Units,Published Timeseries Name,Published Timeseries Name Sightglass,Published Timeseries Unit,ResStock To Published Timeseries Unit Conversion Factor,Notes
Output,yes,yes,report_simulation_output.hvac_geothermal_loop_borehole_trench_length_ft,ft,out.params.hvac_geothermal_loop_borehole_trench_length..ft,out.params.hvac_geothermal_loop_borehole_trench_length_ft,ft,1,,,,,,,Single borehole length used for the geothermal heat pump system. Multiply by number of boreholes for total length.
Output,no,no,report_simulation_output.end_use_electricity_battery_m_btu,MBtu,out.electricity.battery.energy_consumption..kwh,out.electricity.battery.energy_consumption,kwh,293.0710702,End Use: Electricity: Battery,kWh,out.electricity.battery.energy_consumption,out.electricity.battery.energy_consumption,kWh,1,Positive value for charging (including efficiency losses); negative value for discharging
Output,yes,yes,report_simulation_output.end_use_electricity_ceiling_fan_m_btu,MBtu,out.electricity.ceiling_fan.energy_consumption..kwh,out.electricity.ceiling_fan.energy_consumption,kwh,293.0710702,End Use: Electricity: Ceiling Fan,kWh,out.electricity.ceiling_fan.energy_consumption,out.electricity.ceiling_fan.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_clothes_dryer_m_btu,MBtu,out.electricity.clothes_dryer.energy_consumption..kwh,out.electricity.clothes_dryer.energy_consumption,kwh,293.0710702,End Use: Electricity: Clothes Dryer,kWh,out.electricity.clothes_dryer.energy_consumption,out.electricity.clothes_dryer.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_clothes_washer_m_btu,MBtu,out.electricity.clothes_washer.energy_consumption..kwh,out.electricity.clothes_washer.energy_consumption,kwh,293.0710702,End Use: Electricity: Clothes Washer,kWh,out.electricity.clothes_washer.energy_consumption,out.electricity.clothes_washer.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_cooling_fans_pumps_m_btu,MBtu,out.electricity.cooling_fans_pumps.energy_consumption..kwh,out.electricity.cooling_fans_pumps.energy_consumption,kwh,293.0710702,End Use: Electricity: Cooling Fans/Pumps,kWh,out.electricity.cooling_fans_pumps.energy_consumption,out.electricity.cooling_fans_pumps.energy_consumption,kWh,1,Supply fan (air distribution) or circulating pump (geothermal loop)
Output,yes,yes,report_simulation_output.end_use_electricity_cooling_m_btu,MBtu,out.electricity.cooling.energy_consumption..kwh,out.electricity.cooling.energy_consumption,kwh,293.0710702,End Use: Electricity: Cooling,kWh,out.electricity.cooling.energy_consumption,out.electricity.cooling.energy_consumption,kWh,1,Excludes fans/pumps
Output,no,no,report_simulation_output.end_use_electricity_dehumidifier_m_btu,MBtu,out.electricity.dehumidifier.energy_consumption..kwh,out.electricity.dehumidifier.energy_consumption,kwh,293.0710702,End Use: Electricity: Dehumidifier,kWh,out.electricity.dehumidifier.energy_consumption,out.electricity.dehumidifier.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_dishwasher_m_btu,MBtu,out.electricity.dishwasher.energy_consumption..kwh,out.electricity.dishwasher.energy_consumption,kwh,293.0710702,End Use: Electricity: Dishwasher,kWh,out.electricity.dishwasher.energy_consumption,out.electricity.dishwasher.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_electric_vehicle_charging_m_btu,MBtu,out.electricity.ev_charging.energy_consumption..kwh,out.electricity.ev_charging.energy_consumption,kwh,293.0710702,End Use: Electricity: Electric Vehicle Charging,kWh,out.electricity.ev_charging.energy_consumption,out.electricity.ev_charging.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_freezer_m_btu,MBtu,out.electricity.freezer.energy_consumption..kwh,out.electricity.freezer.energy_consumption,kwh,293.0710702,End Use: Electricity: Freezer,kWh,out.electricity.freezer.energy_consumption,out.electricity.freezer.energy_consumption,kWh,1,
Output,no,no,report_simulation_output.end_use_electricity_generator_m_btu,MBtu,out.electricity.generator.energy_consumption..kwh,out.electricity.generator.energy_consumption,kwh,293.0710702,End Use: Electricity: Generator,kWh,out.electricity.generator.energy_consumption,out.electricity.generator.energy_consumption,kWh,1,Negative value for any power produced
Output,yes,yes,report_simulation_output.end_use_electricity_heating_fans_pumps_m_btu,MBtu,out.electricity.heating_fans_pumps.energy_consumption..kwh,out.electricity.heating_fans_pumps.energy_consumption,kwh,293.0710702,End Use: Electricity: Heating Fans/Pumps,kWh,out.electricity.heating_fans_pumps.energy_consumption,out.electricity.heating_fans_pumps.energy_consumption,kWh,1,Supply fan (air distribution) or circulating pump (hydronic distribution or geothermal loop)
Output,yes,yes,report_simulation_output.end_use_electricity_heating_heat_pump_backup_m_btu,MBtu,out.electricity.heating_hp_bkup.energy_consumption..kwh,out.electricity.heating_hp_bkup.energy_consumption,kwh,293.0710702,End Use: Electricity: Heating Heat Pump Backup,kWh,out.electricity.heating_hp_bkup.energy_consumption,out.electricity.heating_hp_bkup.energy_consumption,kWh,1,Excludes heat pump backup fans/pumps
Output,yes,yes,report_simulation_output.end_use_electricity_heating_heat_pump_backup_fans_pumps_m_btu,MBtu,out.electricity.heating_hp_bkup_fa.energy_consumption..kwh,out.electricity.heating_hp_bkup_fa.energy_consumption,kwh,293.0710702,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,kWh,out.electricity.heating_hp_bkup_fa.energy_consumption,out.electricity.heating_hp_bkup_fa.energy_consumption,kWh,1,Includes supply fan (air distribution) or circulating pump (hydronic distribution) during heat pump backup
Output,yes,yes,report_simulation_output.end_use_electricity_heating_m_btu,MBtu,out.electricity.heating.energy_consumption..kwh,out.electricity.heating.energy_consumption,kwh,293.0710702,End Use: Electricity: Heating,kWh,out.electricity.heating.energy_consumption,out.electricity.heating.energy_consumption,kWh,1,Excludes heat pump backup and fans/pumps
Output,yes,yes,report_simulation_output.end_use_electricity_permanent_spa_heater_m_btu,MBtu,out.electricity.permanent_spa_heat.energy_consumption..kwh,out.electricity.permanent_spa_heat.energy_consumption,kwh,293.0710702,End Use: Electricity: Permanent Spa Heater,kWh,out.electricity.permanent_spa_heat.energy_consumption,out.electricity.permanent_spa_heat.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_permanent_spa_pump_m_btu,MBtu,out.electricity.permanent_spa_pump.energy_consumption..kwh,out.electricity.permanent_spa_pump.energy_consumption,kwh,293.0710702,End Use: Electricity: Permanent Spa Pump,kWh,out.electricity.permanent_spa_pump.energy_consumption,out.electricity.permanent_spa_pump.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_hot_water_m_btu,MBtu,out.electricity.hot_water.energy_consumption..kwh,out.electricity.hot_water.energy_consumption,kwh,293.0710702,End Use: Electricity: Hot Water,kWh,out.electricity.hot_water.energy_consumption,out.electricity.hot_water.energy_consumption,kWh,1,Excludes recirc pump and solar thermal pump
Output,no,no,report_simulation_output.end_use_electricity_hot_water_recirc_pump_m_btu,MBtu,out.electricity.hot_water_recirc_p.energy_consumption..kwh,out.electricity.hot_water_recirc_p.energy_consumption,kwh,293.0710702,End Use: Electricity: Hot Water Recirc Pump,kWh,out.electricity.hot_water_recirc_p.energy_consumption,out.electricity.hot_water_recirc_p.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_hot_water_solar_thermal_pump_m_btu,MBtu,out.electricity.hot_water_solar_th.energy_consumption..kwh,out.electricity.hot_water_solar_th.energy_consumption,kwh,293.0710702,End Use: Electricity: Hot Water Solar Thermal Pump,kWh,out.electricity.hot_water_solar_th.energy_consumption,out.electricity.hot_water_solar_th.energy_consumption,kWh,1,Non-zero only when using detailed (not simple) solar thermal inputs
Output,yes,yes,report_simulation_output.end_use_electricity_lighting_exterior_m_btu,MBtu,out.electricity.lighting_exterior.energy_consumption..kwh,out.electricity.lighting_exterior.energy_consumption,kwh,293.0710702,End Use: Electricity: Lighting Exterior,kWh,out.electricity.lighting_exterior.energy_consumption,out.electricity.lighting_exterior.energy_consumption,kWh,1,Includes exterior holiday lighting
Output,yes,yes,report_simulation_output.end_use_electricity_lighting_garage_m_btu,MBtu,out.electricity.lighting_garage.energy_consumption..kwh,out.electricity.lighting_garage.energy_consumption,kwh,293.0710702,End Use: Electricity: Lighting Garage,kWh,out.electricity.lighting_garage.energy_consumption,out.electricity.lighting_garage.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_lighting_interior_m_btu,MBtu,out.electricity.lighting_interior.energy_consumption..kwh,out.electricity.lighting_interior.energy_consumption,kwh,293.0710702,End Use: Electricity: Lighting Interior,kWh,out.electricity.lighting_interior.energy_consumption,out.electricity.lighting_interior.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_mech_vent_m_btu,MBtu,out.electricity.mech_vent.energy_consumption..kwh,out.electricity.mech_vent.energy_consumption,kwh,293.0710702,End Use: Electricity: Mech Vent,kWh,out.electricity.mech_vent.energy_consumption,out.electricity.mech_vent.energy_consumption,kWh,1,Excludes preheating/precooling
Output,no,no,report_simulation_output.end_use_electricity_mech_vent_precooling_m_btu,MBtu,out.electricity.mech_vent_precool.energy_consumption..kwh,out.electricity.mech_vent_precool.energy_consumption,kwh,293.0710702,End Use: Electricity: Mech Vent Precooling,kWh,out.electricity.mech_vent_precool.energy_consumption,out.electricity.mech_vent_precool.energy_consumption,kWh,1,
Output,no,no,report_simulation_output.end_use_electricity_mech_vent_preheating_m_btu,MBtu,out.electricity.mech_vent_preheat.energy_consumption..kwh,out.electricity.mech_vent_preheat.energy_consumption,kwh,293.0710702,End Use: Electricity: Mech Vent Preheating,kWh,out.electricity.mech_vent_preheat.energy_consumption,out.electricity.mech_vent_preheat.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_plug_loads_m_btu,MBtu,out.electricity.plug_loads.energy_consumption..kwh,out.electricity.plug_loads.energy_consumption,kwh,293.0710702,End Use: Electricity: Plug Loads,kWh,out.electricity.plug_loads.energy_consumption,out.electricity.plug_loads.energy_consumption,kWh,1,"Excludes independently reported plug loads (e.g., well pump)"
Output,yes,yes,report_simulation_output.end_use_electricity_pool_heater_m_btu,MBtu,out.electricity.pool_heater.energy_consumption..kwh,out.electricity.pool_heater.energy_consumption,kwh,293.0710702,End Use: Electricity: Pool Heater,kWh,out.electricity.pool_heater.energy_consumption,out.electricity.pool_heater.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_pool_pump_m_btu,MBtu,out.electricity.pool_pump.energy_consumption..kwh,out.electricity.pool_pump.energy_consumption,kwh,293.0710702,End Use: Electricity: Pool Pump,kWh,out.electricity.pool_pump.energy_consumption,out.electricity.pool_pump.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_pv_m_btu,MBtu,out.electricity.pv.energy_consumption..kwh,out.electricity.pv.energy_consumption,kwh,293.0710702,End Use: Electricity: PV,kWh,out.electricity.pv.energy_consumption,out.electricity.pv.energy_consumption,kWh,1,Negative value for any power produced
Output,yes,yes,report_simulation_output.end_use_electricity_range_oven_m_btu,MBtu,out.electricity.range_oven.energy_consumption..kwh,out.electricity.range_oven.energy_consumption,kwh,293.0710702,End Use: Electricity: Range/Oven,kWh,out.electricity.range_oven.energy_consumption,out.electricity.range_oven.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_refrigerator_m_btu,MBtu,out.electricity.refrigerator.energy_consumption..kwh,out.electricity.refrigerator.energy_consumption,kwh,293.0710702,End Use: Electricity: Refrigerator,kWh,out.electricity.refrigerator.energy_consumption,out.electricity.refrigerator.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_television_m_btu,MBtu,out.electricity.television.energy_consumption..kwh,out.electricity.television.energy_consumption,kwh,293.0710702,End Use: Electricity: Television,kWh,out.electricity.television.energy_consumption,out.electricity.television.energy_consumption,kWh,1,
Output,yes,yes,report_simulation_output.end_use_electricity_well_pump_m_btu,MBtu,out.electricity.well_pump.energy_consumption..kwh,out.electricity.well_pump.energy_consumption,kwh,293.0710702,End Use: Electricity: Well Pump,kWh,out.electricity.well_pump.energy_consumption,out.electricity.well_pump.energy_consumption,kWh,1,
Output,no,no,report_simulation_output.end_use_electricity_whole_house_fan_m_btu,MBtu,out.electricity.whole_house_fan.energy_consumption..kwh,out.electricity.whole_house_fan.energy_consumption,kwh,293.0710702,End Use: Electricity: Whole House Fan,kWh,out.electricity.whole_house_fan.energy_consumption,out.electricity.whole_house_fan.energy_consumption,kWh,1,
Output,no,no,report_simulation_output.end_use_fuel_oil_clothes_dryer_m_btu,MBtu,out.fuel_oil.clothes_dryer.energy_consumption..kwh,out.fuel_oil.clothes_dryer.energy_consumption,kwh,293.0710702,End Use: Fuel Oil: Clothes Dryer,kBtu,out.fuel_oil.clothes_dryer.energy_consumption,out.fuel_oil.clothes_dryer.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_fuel_oil_fireplace_m_btu,MBtu,out.fuel_oil.fireplace.energy_consumption..kwh,out.fuel_oil.fireplace.energy_consumption,kwh,293.0710702,End Use: Fuel Oil: Fireplace,kBtu,out.fuel_oil.fireplace.energy_consumption,out.fuel_oil.fireplace.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_fuel_oil_generator_m_btu,MBtu,out.fuel_oil.generator.energy_consumption..kwh,out.fuel_oil.generator.energy_consumption,kwh,293.0710702,End Use: Fuel Oil: Generator,kBtu,out.fuel_oil.generator.energy_consumption,out.fuel_oil.generator.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_fuel_oil_grill_m_btu,MBtu,out.fuel_oil.grill.energy_consumption..kwh,out.fuel_oil.grill.energy_consumption,kwh,293.0710702,End Use: Fuel Oil: Grill,kBtu,out.fuel_oil.grill.energy_consumption,out.fuel_oil.grill.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_fuel_oil_heating_heat_pump_backup_m_btu,MBtu,out.fuel_oil.heating_hp_bkup.energy_consumption..kwh,out.fuel_oil.heating_hp_bkup.energy_consumption,kwh,293.0710702,End Use: Fuel Oil: Heating Heat Pump Backup,kBtu,out.fuel_oil.heating_hp_bkup.energy_consumption,out.fuel_oil.heating_hp_bkup.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.end_use_fuel_oil_heating_m_btu,MBtu,out.fuel_oil.heating.energy_consumption..kwh,out.fuel_oil.heating.energy_consumption,kwh,293.0710702,End Use: Fuel Oil: Heating,kBtu,out.fuel_oil.heating.energy_consumption,out.fuel_oil.heating.energy_consumption,kWh,0.29307107,Excludes heat pump backup
Output,yes,yes,report_simulation_output.end_use_fuel_oil_hot_water_m_btu,MBtu,out.fuel_oil.hot_water.energy_consumption..kwh,out.fuel_oil.hot_water.energy_consumption,kwh,293.0710702,End Use: Fuel Oil: Hot Water,kBtu,out.fuel_oil.hot_water.energy_consumption,out.fuel_oil.hot_water.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_fuel_oil_lighting_m_btu,MBtu,out.fuel_oil.lighting.energy_consumption..kwh,out.fuel_oil.lighting.energy_consumption,kwh,293.0710702,End Use: Fuel Oil: Lighting,kBtu,out.fuel_oil.lighting.energy_consumption,out.fuel_oil.lighting.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_fuel_oil_mech_vent_preheating_m_btu,MBtu,out.fuel_oil.mech_vent_preheating.energy_consumption..kwh,out.fuel_oil.mech_vent_preheating.energy_consumption,kwh,293.0710702,End Use: Fuel Oil: Mech Vent Preheating,kBtu,out.fuel_oil.mech_vent_preheating.energy_consumption,out.fuel_oil.mech_vent_preheating.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_fuel_oil_range_oven_m_btu,MBtu,out.fuel_oil.range_oven.energy_consumption..kwh,out.fuel_oil.range_oven.energy_consumption,kwh,293.0710702,End Use: Fuel Oil: Range/Oven,kBtu,out.fuel_oil.range_oven.energy_consumption,out.fuel_oil.range_oven.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.end_use_natural_gas_clothes_dryer_m_btu,MBtu,out.natural_gas.clothes_dryer.energy_consumption..kwh,out.natural_gas.clothes_dryer.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Clothes Dryer,kBtu,out.natural_gas.clothes_dryer.energy_consumption,out.natural_gas.clothes_dryer.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.end_use_natural_gas_fireplace_m_btu,MBtu,out.natural_gas.fireplace.energy_consumption..kwh,out.natural_gas.fireplace.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Fireplace,kBtu,out.natural_gas.fireplace.energy_consumption,out.natural_gas.fireplace.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_natural_gas_generator_m_btu,MBtu,out.natural_gas.generator.energy_consumption..kwh,out.natural_gas.generator.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Generator,kBtu,out.natural_gas.generator.energy_consumption,out.natural_gas.generator.energy_consumption,kWh,0.29307107,Positive value for any fuel consumed
Output,yes,yes,report_simulation_output.end_use_natural_gas_grill_m_btu,MBtu,out.natural_gas.grill.energy_consumption..kwh,out.natural_gas.grill.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Grill,kBtu,out.natural_gas.grill.energy_consumption,out.natural_gas.grill.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_natural_gas_heating_heat_pump_backup_m_btu,MBtu,out.natural_gas.heating_hp_bkup.energy_consumption..kwh,out.natural_gas.heating_hp_bkup.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Heating Heat Pump Backup,kBtu,out.natural_gas.heating_hp_bkup.energy_consumption,out.natural_gas.heating_hp_bkup.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.end_use_natural_gas_heating_m_btu,MBtu,out.natural_gas.heating.energy_consumption..kwh,out.natural_gas.heating.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Heating,kBtu,out.natural_gas.heating.energy_consumption,out.natural_gas.heating.energy_consumption,kWh,0.29307107,Excludes heat pump backup
Output,yes,yes,report_simulation_output.end_use_natural_gas_permanent_spa_heater_m_btu,MBtu,out.natural_gas.permanent_spa_heat.energy_consumption..kwh,out.natural_gas.permanent_spa_heat.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Permanent Spa Heater,kBtu,out.natural_gas.permanent_spa_heat.energy_consumption,out.natural_gas.permanent_spa_heat.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.end_use_natural_gas_hot_water_m_btu,MBtu,out.natural_gas.hot_water.energy_consumption..kwh,out.natural_gas.hot_water.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Hot Water,kBtu,out.natural_gas.hot_water.energy_consumption,out.natural_gas.hot_water.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.end_use_natural_gas_lighting_m_btu,MBtu,out.natural_gas.lighting.energy_consumption..kwh,out.natural_gas.lighting.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Lighting,kBtu,out.natural_gas.lighting.energy_consumption,out.natural_gas.lighting.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_natural_gas_mech_vent_preheating_m_btu,MBtu,out.natural_gas.mech_vent_preheat.energy_consumption..kwh,out.natural_gas.mech_vent_preheat.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Mech Vent Preheating,kBtu,out.natural_gas.mech_vent_preheat.energy_consumption,out.natural_gas.mech_vent_preheat.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.end_use_natural_gas_pool_heater_m_btu,MBtu,out.natural_gas.pool_heater.energy_consumption..kwh,out.natural_gas.pool_heater.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Pool Heater,kBtu,out.natural_gas.pool_heater.energy_consumption,out.natural_gas.pool_heater.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.end_use_natural_gas_range_oven_m_btu,MBtu,out.natural_gas.range_oven.energy_consumption..kwh,out.natural_gas.range_oven.energy_consumption,kwh,293.0710702,End Use: Natural Gas: Range/Oven,kBtu,out.natural_gas.range_oven.energy_consumption,out.natural_gas.range_oven.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.end_use_propane_clothes_dryer_m_btu,MBtu,out.propane.clothes_dryer.energy_consumption..kwh,out.propane.clothes_dryer.energy_consumption,kwh,293.0710702,End Use: Propane: Clothes Dryer,kBtu,out.propane.clothes_dryer.energy_consumption,out.propane.clothes_dryer.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_propane_fireplace_m_btu,MBtu,out.propane.fireplace.energy_consumption..kwh,out.propane.fireplace.energy_consumption,kwh,293.0710702,End Use: Propane: Fireplace,kBtu,out.propane.fireplace.energy_consumption,out.propane.fireplace.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_propane_generator_m_btu,MBtu,out.propane.generator.energy_consumption..kwh,out.propane.generator.energy_consumption,kwh,293.0710702,End Use: Propane: Generator,kBtu,out.propane.generator.energy_consumption,out.propane.generator.energy_consumption,kWh,0.29307107,Positive value for any fuel consumed
Output,no,no,report_simulation_output.end_use_propane_grill_m_btu,MBtu,out.propane.grill.energy_consumption..kwh,out.propane.grill.energy_consumption,kwh,293.0710702,End Use: Propane: Grill,kBtu,out.propane.grill.energy_consumption,out.propane.grill.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_propane_heating_heat_pump_backup_m_btu,MBtu,out.propane.heating_hp_bkup.energy_consumption..kwh,out.propane.heating_hp_bkup.energy_consumption,kwh,293.0710702,End Use: Propane: Heating Heat Pump Backup,kBtu,out.propane.heating_hp_bkup.energy_consumption,out.propane.heating_hp_bkup.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.end_use_propane_heating_m_btu,MBtu,out.propane.heating.energy_consumption..kwh,out.propane.heating.energy_consumption,kwh,293.0710702,End Use: Propane: Heating,kBtu,out.propane.heating.energy_consumption,out.propane.heating.energy_consumption,kWh,0.29307107,Excludes heat pump backup
Output,yes,yes,report_simulation_output.end_use_propane_hot_water_m_btu,MBtu,out.propane.hot_water.energy_consumption..kwh,out.propane.hot_water.energy_consumption,kwh,293.0710702,End Use: Propane: Hot Water,kBtu,out.propane.hot_water.energy_consumption,out.propane.hot_water.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_propane_lighting_m_btu,MBtu,out.propane.lighting.energy_consumption..kwh,out.propane.lighting.energy_consumption,kwh,293.0710702,End Use: Propane: Lighting,kBtu,out.propane.lighting.energy_consumption,out.propane.lighting.energy_consumption,kWh,0.29307107,
Output,no,no,report_simulation_output.end_use_propane_mech_vent_preheating_m_btu,MBtu,out.propane.mech_vent_preheating.energy_consumption..kwh,out.propane.mech_vent_preheating.energy_consumption,kwh,293.0710702,End Use: Propane: Mech Vent Preheating,kBtu,out.propane.mech_vent_preheating.energy_consumption,out.propane.mech_vent_preheating.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.end_use_propane_range_oven_m_btu,MBtu,out.propane.range_oven.energy_consumption..kwh,out.propane.range_oven.energy_consumption,kwh,293.0710702,End Use: Propane: Range/Oven,kBtu,out.propane.range_oven.energy_consumption,out.propane.range_oven.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.energy_use_net_m_btu,MBtu,out.site_energy.net.energy_consumption..kwh,out.site_energy.net.energy_consumption,kwh,293.0710702,Energy Use: Net,kBtu,out.site_energy.net.energy_consumption,out.site_energy.net.energy_consumption,kWh,0.29307107,Subtracts any power produced by PV or generators.
Output,yes,yes,report_simulation_output.energy_use_total_m_btu,MBtu,out.site_energy.total.energy_consumption..kwh,out.site_energy.total.energy_consumption,kwh,293.0710702,Energy Use: Total,kBtu,out.site_energy.total.energy_consumption,out.site_energy.total.energy_consumption,kWh,0.29307107,Includes any battery charging/discharging
Output,yes,yes,report_simulation_output.fuel_use_electricity_net_m_btu,MBtu,out.electricity.net.energy_consumption..kwh,out.electricity.net.energy_consumption,kwh,293.0710702,Fuel Use: Electricity: Net,kWh,out.electricity.net.energy_consumption,out.electricity.net.energy_consumption,kWh,1,Subtracts any power produced by PV or generators.
Output,yes,yes,report_simulation_output.fuel_use_electricity_total_m_btu,MBtu,out.electricity.total.energy_consumption..kwh,out.electricity.total.energy_consumption,kwh,293.0710702,Fuel Use: Electricity: Total,kWh,out.electricity.total.energy_consumption,out.electricity.total.energy_consumption,kWh,1,Includes any battery charging/discharging
Output,yes,yes,report_simulation_output.fuel_use_fuel_oil_total_m_btu,MBtu,out.fuel_oil.total.energy_consumption..kwh,out.fuel_oil.total.energy_consumption,kwh,293.0710702,Fuel Use: Fuel Oil: Total,kBtu,out.fuel_oil.total.energy_consumption,out.fuel_oil.total.energy_consumption,kWh,0.29307107,"Includes 'fuel oil', 'fuel oil 1', 'fuel oil 2', 'fuel oil 4', 'fuel oil 5/6', 'kerosene', and 'diesel'"
Output,yes,yes,report_simulation_output.fuel_use_natural_gas_total_m_btu,MBtu,out.natural_gas.total.energy_consumption..kwh,out.natural_gas.total.energy_consumption,kwh,293.0710702,Fuel Use: Natural Gas: Total,kBtu,out.natural_gas.total.energy_consumption,out.natural_gas.total.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.fuel_use_propane_total_m_btu,MBtu,out.propane.total.energy_consumption..kwh,out.propane.total.energy_consumption,kwh,293.0710702,Fuel Use: Propane: Total,kBtu,out.propane.total.energy_consumption,out.propane.total.energy_consumption,kWh,0.29307107,
Output,yes,yes,report_simulation_output.hot_water_clothes_washer_gal,gal,out.hot_water.clothes_washer..gal,out.hot_water.clothes_washer.gal,gal,1,Hot Water: Clothes Washer,gal,,,,,
Output,yes,yes,report_simulation_output.hot_water_dishwasher_gal,gal,out.hot_water.dishwasher..gal,out.hot_water.dishwasher.gal,gal,1,Hot Water: Dishwasher,gal,,,,,
Output,yes,yes,report_simulation_output.hot_water_distribution_waste_gal,gal,out.hot_water.distribution_waste..gal,out.hot_water.distribution_waste.gal,gal,1,Hot Water: Distribution Waste,gal,,,,,
Output,yes,yes,report_simulation_output.hot_water_fixtures_gal,gal,out.hot_water.fixtures..gal,out.hot_water.fixtures.gal,gal,1,Hot Water: Fixtures,gal,,,,,Showers and faucets.
Output,yes,yes,report_simulation_output.hvac_capacity_cooling_btu_h,btu_h,out.capacity.cooling..btu_per_hr,out.capacity.cooling.btu_h,btu_h,1,,,,,,,
Output,yes,yes,report_simulation_output.hvac_capacity_heat_pump_backup_btu_h,btu_h,out.capacity.heat_pump_backup..btu_per_hr,out.capacity.heat_pump_backup.btu_h,btu_h,1,,,,,,,
Output,yes,yes,report_simulation_output.hvac_capacity_heating_btu_h,btu_h,out.capacity.heating..btu_per_hr,out.capacity.heating.btu_h,btu_h,1,,,,,,,
Output,yes,yes,report_simulation_output.load_cooling_delivered_m_btu,MBtu,out.load.cooling.energy_delivered..kbtu,out.load.cooling.energy_delivered.kbtu,kbtu,1000,Load: Cooling: Delivered,kBtu,out.load.cooling.energy_delivered.kbtu,out.load.cooling.energy_delivered.kbtu,kBtu,1,Includes HVAC distribution losses.
Output,yes,yes,report_simulation_output.load_heating_delivered_m_btu,MBtu,out.load.heating.energy_delivered..kbtu,out.load.heating.energy_delivered.kbtu,kbtu,1000,Load: Heating: Delivered,kBtu,out.load.heating.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,kBtu,1,Includes HVAC distribution losses.
