field_location	field_name	units	field_description
metadata_and_annual	out.emissions.total.lrmer_mid_case_25..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.lrmer_mid_case_15..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.lrmer_mid_case_15..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.lrmer_high_re_cost_25..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.lrmer_high_re_cost_25..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.lrmer_high_re_cost_15..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.lrmer_high_re_cost_15..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.lrmer_low_re_cost_25..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.lrmer_low_re_cost_25..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.lrmer_low_re_cost_15..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.lrmer_low_re_cost_15..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.lrmer_low_re_cost_high_ng_price_25..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.lrmer_low_re_cost_high_ng_price_25..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.lrmer_low_re_cost_high_ng_price_15..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.lrmer_low_re_cost_high_ng_price_15..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.lrmer_high_re_cost_low_ng_price_25..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.lrmer_high_re_cost_low_ng_price_25..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.lrmer_high_re_cost_low_ng_price_15..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.lrmer_high_re_cost_low_ng_price_15..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.aer_high_re_cost_avg..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.aer_high_re_cost_avg..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.aer_high_re_cost_low_ng_price_avg..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.aer_high_re_cost_low_ng_price_avg..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.aer_low_re_cost_avg..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.aer_low_re_cost_avg..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.aer_low_re_cost_high_ng_price_avg..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.aer_low_re_cost_high_ng_price_avg..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.emissions.electricity.aer_mid_case_avg..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
metadata_and_annual	out.emissions.total.aer_mid_case_avg..co2e_kg	kg	Scenario total emissions, includes any battery charging/discharging
metadata_and_annual	out.utility_bills.electricity_bill..usd	usd	Scenario annual total charges for electricity.
metadata_and_annual	out.utility_bills.fuel_oil_bill..usd	usd	Scenario annual total charges for fuel oil.
metadata_and_annual	out.utility_bills.natural_gas_bill..usd	usd	Scenario annual total charges for natural gas.
metadata_and_annual	out.utility_bills.propane_bill..usd	usd	Scenario annual total charges for propane.
metadata_and_annual	out.utility_bills.total_bill..usd	usd	Scenario annual total charges.
metadata_and_annual	out.params.panel_load_total_load.2023_nec_existing_dwelling_load_based..w	w	Total electric load calculated using load-based method for existing dwelings per 2023 National Electrical Code
metadata_and_annual	out.params.panel_load_occupied_capacity.2023_nec_existing_dwelling_load_based..a	amp	Electric panel total occupied capacity, = out.panel.load.total_load.2023_nec_existing_dwelling_load_based.w  / 240
metadata_and_annual	out.params.panel_load_headroom_capacity.2023_nec_existing_dwelling_load_based..a	amp	Electric panel total headroom capacity, = in.electric_panel_service_rating - out.panel.load.occupied_capacity.2023_nec_existing_dwelling_load_based.a
metadata_and_annual	out.params.panel_load_clothes_dryer..w	w	Electric load of clothes dryer, for electric only
metadata_and_annual	out.params.panel_load_cooling..w	w	Electric load of space cooling. For the total load calculation, the max of heating or cooling is used, not both
metadata_and_annual	out.params.panel_load_dishwasher..w	w	Electric load of dishwasher
metadata_and_annual	out.params.panel_load_ev_charging..w	w	Electric load of electric vehicle charging equipment
metadata_and_annual	out.params.panel_load_heating..w	w	Electric load of space heating. For the total load calculation, the max of heating or cooling is used, not both
metadata_and_annual	out.params.panel_load_hot_water..w	w	Electric load of water heater, for electric only
metadata_and_annual	out.params.panel_load_mech_vent..w	w	Electric load of mechanical ventilation
metadata_and_annual	out.params.panel_load_other..w	w	Other electric load, including but not limited to lighting/general receptacles at 3 W/sqft, refrigerator, microwave, and garbage disposal.
metadata_and_annual	out.params.panel_load_permanent_spa_heat..w	w	Electric load of permanent spa heater, for electric only
metadata_and_annual	out.params.panel_load_permanent_spa_pump..w	w	Electric load of permanent spa pump
metadata_and_annual	out.params.panel_load_pool_heater..w	w	Electric load of pool heater, for electric only
metadata_and_annual	out.params.panel_load_pool_pump..w	w	Electric load of pool pump
metadata_and_annual	out.params.panel_load_range_oven..w	w	Electric load of range oven, for electric only
metadata_and_annual	out.params.panel_load_well_pump..w	w	Electric load of well pump
metadata_and_annual	in.electric_panel_breaker_space_total_count	count	Total breaker spaces on electric panel
metadata_and_annual	out.params.panel_breaker_space_occupied_count	count	Total occupied breaker spaces on electric panel
metadata_and_annual	out.params.panel_breaker_space_headroom_count	count	Total headroom breaker spaces on electric panel, = in.electric_panel_breaker_space_total_count - out.panel.breaker_space.occupied.count
metadata_and_annual	out.params.panel_breaker_space_clothes_dryer_count	count	Breaker spaces occupied by clothes dryer
metadata_and_annual	out.params.panel_breaker_space_cooling_count	count	Breaker spaces occupied by space cooling
metadata_and_annual	out.params.panel_breaker_space_dishwasher_count	count	Breaker spaces occupied by dishwasher
metadata_and_annual	out.params.panel_breaker_space_ev_charging_count	count	Breaker spaces occupied by electric vehicle charging equipment
metadata_and_annual	out.params.panel_breaker_space_heating_count	count	Breaker spaces occupied by space heating
metadata_and_annual	out.params.panel_breaker_space_hot_water_count	count	Breaker spaces occupied by water heater
metadata_and_annual	out.params.panel_breaker_space_mech_vent_count	count	Breaker spaces occupied by mechanical ventilation
metadata_and_annual	out.params.panel_breaker_space_other_count	count	Breaker spaces occupied by other loads
metadata_and_annual	out.params.panel_breaker_space_permanent_spa_heat_count	count	Breaker spaces occupied by permanent spa heater
metadata_and_annual	out.params.panel_breaker_space_permanent_spa_pump_count	count	Breaker spaces occupied by permanent spa pump
metadata_and_annual	out.params.panel_breaker_space_pool_heater_count	count	Breaker spaces occupied by pool heater
metadata_and_annual	out.params.panel_breaker_space_pool_pump_count	count	Breaker spaces occupied by pool pump
metadata_and_annual	out.params.panel_breaker_space_range_oven_count	count	Breaker spaces occupied by range oven
metadata_and_annual	out.params.panel_breaker_space_well_pump_count	count	Breaker spaces occupied by well pump
metadata_and_annual	out.params.panel_load_total_load_savings.2023_nec_existing_dwelling_load_based..w	w	Total amount of electrical load reduced from an energy measure per load-based method for existing dwelings per 2023 National Electrical Code
metadata_and_annual	out.params.panel_load_occupied_capacity_savings.2023_nec_existing_dwelling_load_based..a	amp	Total amount of occupied electrical capacity reduced from an energy measure per load-based method for existing dwelings per 2023 National Electrical Code
metadata_and_annual	out.params.panel_breaker_space_occupied_savings_count	count	Number of breaker spaces reduced from an energy measure
metadata_and_annual	out.params.panel_constraint_capacity.2023_nec_existing_dwelling_load_based	bool	Whether electric panel is capacity-constrained per the given method, defined as when out.panel.load.headroom_capacity.2023_nec_existing_dwelling_load_based.a < 0
metadata_and_annual	out.params.panel_constraint_breaker_space	bool	Whether electric panel is space-constrained, defined as when out.panel.breaker_space.headroom.count < 0
metadata_and_annual	out.params.panel_constraint_overall.2023_nec_existing_dwelling_load_based	categorical	"Summarize overall electric panel constraint per the given method as ""No Constraint"", ""Space Constrained Only"", ""Capacity Constrained Only"", or ""Capacity and Space Constrained"""
metadata_and_annual	out.energy_burden..percentage	percentage	Percentage of income spent on energy
metadata_and_annual	out.electricity.ceiling_fan.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.clothes_dryer.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.clothes_washer.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.cooling_fans_pumps.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.cooling.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.dishwasher.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.ev_charging.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.freezer.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.heating_fans_pumps.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.heating_hp_bkup.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.heating_hp_bkup_fa.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.heating.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.permanent_spa_heat.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.permanent_spa_pump.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.hot_water.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.hot_water_solar_th.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.lighting_exterior.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.lighting_garage.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.lighting_interior.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.mech_vent.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.plug_loads.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.pool_heater.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.pool_pump.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.pv.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.range_oven.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.refrigerator.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.television.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.well_pump.energy_savings..kwh	kwh	
metadata_and_annual	out.fuel_oil.heating.energy_savings..kwh	kwh	
metadata_and_annual	out.fuel_oil.hot_water.energy_savings..kwh	kwh	
metadata_and_annual	out.natural_gas.clothes_dryer.energy_savings..kwh	kwh	
metadata_and_annual	out.natural_gas.fireplace.energy_savings..kwh	kwh	
metadata_and_annual	out.natural_gas.grill.energy_savings..kwh	kwh	
metadata_and_annual	out.natural_gas.heating.energy_savings..kwh	kwh	
metadata_and_annual	out.natural_gas.permanent_spa_heat.energy_savings..kwh	kwh	
metadata_and_annual	out.natural_gas.hot_water.energy_savings..kwh	kwh	
metadata_and_annual	out.natural_gas.lighting.energy_savings..kwh	kwh	
metadata_and_annual	out.natural_gas.pool_heater.energy_savings..kwh	kwh	
metadata_and_annual	out.natural_gas.range_oven.energy_savings..kwh	kwh	
metadata_and_annual	out.propane.clothes_dryer.energy_savings..kwh	kwh	
metadata_and_annual	out.propane.heating.energy_savings..kwh	kwh	
metadata_and_annual	out.propane.hot_water.energy_savings..kwh	kwh	
metadata_and_annual	out.propane.range_oven.energy_savings..kwh	kwh	
metadata_and_annual	out.site_energy.net.energy_savings..kwh	kwh	
metadata_and_annual	out.site_energy.total.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.net.energy_savings..kwh	kwh	
metadata_and_annual	out.electricity.total.energy_savings..kwh	kwh	
metadata_and_annual	out.fuel_oil.total.energy_savings..kwh	kwh	
metadata_and_annual	out.natural_gas.total.energy_savings..kwh	kwh	
metadata_and_annual	out.propane.total.energy_savings..kwh	kwh	
metadata_and_annual	out.load.cooling.energy_delivered_savings..kbtu	kbtu	
metadata_and_annual	out.load.heating.energy_delivered_savings..kbtu	kbtu	
metadata_and_annual	out.load.hot_water.energy_delivered_savings..kbtu	kbtu	
metadata_and_annual	out.load.hot_water.energy_solar_thermal_savings..kbtu	kbtu	
metadata_and_annual	out.load.hot_water.energy_tank_losses_savings..kbtu	kbtu	
metadata_and_annual	out.load.cooling.peak_savings..kbtu_per_hr	kbtu_hr	
metadata_and_annual	out.load.heating.peak_savings..kbtu_per_hr	kbtu_hr	
metadata_and_annual	out.qoi.electricity.maximum_daily_peak_savings_summer..kw	kw	
metadata_and_annual	out.qoi.electricity.maximum_daily_peak_savings_winter..kw	kw	
metadata_and_annual	out.unmet_hours_reduction.cooling..hr	hour	
metadata_and_annual	out.unmet_hours_reduction.heating..hr	hour	
metadata_and_annual	out.emissions.fuel_oil.total..co2e_kg	n/a	
metadata_and_annual	out.emissions.natural_gas.total..co2e_kg	n/a	
metadata_and_annual	out.emissions.propane.total..co2e_kg	n/a	
metadata_and_annual	out.emissions_reduction.fuel_oil.total..co2e_kg	n/a	
metadata_and_annual	out.emissions_reduction.natural_gas.total..co2e_kg	n/a	
metadata_and_annual	out.emissions_reduction.propane.total..co2e_kg	n/a	
metadata_and_annual	out.emissions_reduction.electricity.lrmer_mid_case_25..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.lrmer_mid_case_25..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.lrmer_mid_case_15..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.lrmer_mid_case_15..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.lrmer_high_re_cost_25..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.lrmer_high_re_cost_25..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.lrmer_high_re_cost_15..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.lrmer_high_re_cost_15..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.lrmer_low_re_cost_25..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.lrmer_low_re_cost_25..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.lrmer_low_re_cost_15..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.lrmer_low_re_cost_15..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.lrmer_low_re_cost_high_ng_price_25..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.lrmer_low_re_cost_high_ng_price_25..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.lrmer_low_re_cost_high_ng_price_15..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.lrmer_low_re_cost_high_ng_price_15..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.lrmer_high_re_cost_low_ng_price_25..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.lrmer_high_re_cost_low_ng_price_25..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.lrmer_high_re_cost_low_ng_price_15..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.lrmer_high_re_cost_low_ng_price_15..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.aer_high_re_cost_avg..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.aer_high_re_cost_avg..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.aer_high_re_cost_low_ng_price_avg..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.aer_high_re_cost_low_ng_price_avg..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.aer_low_re_cost_avg..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.aer_low_re_cost_avg..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.aer_low_re_cost_high_ng_price_avg..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.aer_low_re_cost_high_ng_price_avg..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.electricity.aer_mid_case_avg..co2e_kg	kg	
metadata_and_annual	out.emissions_reduction.total.aer_mid_case_avg..co2e_kg	kg	
metadata_and_annual	out.utility_bills.electricity_bill_savings..usd	usd	
metadata_and_annual	out.utility_bills.fuel_oil_bill_savings..usd	usd	
metadata_and_annual	out.utility_bills.natural_gas_bill_savings..usd	usd	
metadata_and_annual	out.utility_bills.propane_bill_savings..usd	usd	
metadata_and_annual	out.utility_bills.total_bill_savings..usd	usd	
metadata_and_annual	out.energy_burden_savings..percentage	percentage	
metadata_and_annual	out.electricity.ceiling_fan.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.ceiling_fan.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.clothes_dryer.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.clothes_dryer.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.clothes_washer.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.clothes_washer.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.cooling.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.cooling.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.cooling_fans_pumps.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.cooling_fans_pumps.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.dishwasher.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.dishwasher.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.ev_charging.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.ev_charging.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.freezer.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.freezer.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.heating.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.heating.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.heating_fans_pumps.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.heating_fans_pumps.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.heating_hp_bkup.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.heating_hp_bkup.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.heating_hp_bkup_fa.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.heating_hp_bkup_fa.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.hot_water.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.hot_water.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.hot_water_solar_th.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.hot_water_solar_th.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.lighting_exterior.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.lighting_exterior.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.lighting_garage.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.lighting_garage.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.lighting_interior.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.lighting_interior.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.mech_vent.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.mech_vent.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.net.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.net.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.permanent_spa_heat.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.permanent_spa_heat.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.permanent_spa_pump.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.permanent_spa_pump.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.plug_loads.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.plug_loads.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.pool_heater.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.pool_heater.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.pool_pump.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.pool_pump.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.pv.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.pv.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.range_oven.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.range_oven.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.refrigerator.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.refrigerator.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.television.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.television.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.total.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.total.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.well_pump.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.electricity.well_pump.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.fuel_oil.heating.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.fuel_oil.heating.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.fuel_oil.hot_water.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.fuel_oil.hot_water.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.fuel_oil.total.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.fuel_oil.total.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.clothes_dryer.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.clothes_dryer.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.fireplace.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.fireplace.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.grill.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.grill.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.heating.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.heating.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.hot_water.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.hot_water.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.lighting.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.lighting.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.permanent_spa_heat.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.permanent_spa_heat.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.pool_heater.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.pool_heater.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.range_oven.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.range_oven.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.total.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.natural_gas.total.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.propane.clothes_dryer.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.propane.clothes_dryer.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.propane.heating.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.propane.heating.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.propane.hot_water.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.propane.hot_water.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.propane.range_oven.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.propane.range_oven.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.propane.total.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.propane.total.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.site_energy.net.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.site_energy.net.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.site_energy.total.energy_consumption_intensity..kwh_per_ft2	kwh_per_ft2	
metadata_and_annual	out.site_energy.total.energy_savings_intensity..kwh_per_ft2	kwh_per_ft2	
